weight,height,size
55,157,S
85,165,L
56,160,S
0,0,XXS
57,164,S
72,160,M
60,156,S
108,192,XXXL
58,158,S
68,164,M
79,161,L
66,160,M
58,161,S
55,159,S
55,162,S
0,0,XXS
80,159,L
83,164,L
114,191,XXXL
69,165,M
67,160,M
59,157,S
77,158,L
69,163,M
112,198,XXXL
84,162,L
90,165,XL
85,158,L
84,161,L
70,161,M
118,200,XXXL
67,161,M
58,158,S
107,200,XXXL
113,191,XXXL
90,156,XL
100,181,XXL
116,193,XXXL
60,155,S
59,155,S
91,165,XL
79,157,L
59,158,S
57,159,S
86,159,XL
60,159,S
74,163,M
120,193,XXXL
116,198,XXXL
56,160,S
67,161,M
91,190,XL
112,196,XXXL
0,0,XXS
90,159,XL
88,166,XL
85,161,L
68,159,M
58,160,S
55,158,S
94,181,XXL
91,161,XL
90,156,XL
81,160,L
100,189,XXL
74,157,M
86,187,XL
84,156,L
112,193,XXXL
56,164,S
116,199,XXXL
66,157,M
60,157,S
57,163,S
57,158,S
85,165,L
80,165,L
72,160,M
103,200,XXXL
57,164,S
69,158,M
84,164,L
97,189,XXL
77,162,L
58,161,S
107,194,XXXL
59,162,S
83,161,L
73,162,M
101,192,XXXL
58,156,S
90,155,XL
87,190,XL
60,163,S
67,162,M
86,184,XL
88,169,XL
59,160,S
95,190,XXL
58,163,S
0,0,XXS
105,196,XXXL
100,174,XXL
101,198,XXXL
55,165,S
75,164,M
86,166,XL
75,161,M
84,161,L
56,165,S
72,157,M
106,191,XXXL
80,165,L
0,0,XXS
55,157,S
101,199,XXXL
55,164,S
88,170,XL
57,160,S
0,0,XXS
76,157,L
83,164,L
68,164,M
67,165,M
0,0,XXS
68,164,M
72,164,M
88,184,XL
67,162,M
74,160,M
82,164,L
90,172,XL
89,155,XL
92,177,XL
59,160,S
58,164,S
79,158,L
92,178,XL
0,0,XXS
66,159,M
107,200,XXXL
57,158,S
72,156,M
93,181,XXL
119,194,XXXL
81,162,L
82,158,L
60,163,S
83,164,L
72,162,M
56,164,S
57,158,S
74,157,M
74,158,M
57,159,S
67,161,M
0,0,XXS
117,200,XXXL
59,155,S
86,177,XL
73,160,M
69,162,M
92,165,XL
100,183,XXL
72,159,M
89,186,XL
88,171,XL
92,156,XL
108,196,XXXL
72,163,M
115,194,XXXL
74,155,M
85,160,L
56,158,S
112,194,XXXL
56,156,S
75,165,M
95,183,XXL
90,184,XL
73,159,M
110,197,XXXL
87,159,XL
59,161,S
58,158,S
118,191,XXXL
73,163,M
66,158,M
91,169,XL
56,165,S
59,163,S
107,199,XXXL
60,159,S
106,199,XXXL
88,183,XL
60,156,S
74,161,M
99,175,XXL
72,155,M
81,158,L
68,157,M
97,173,XXL
81,158,L
73,163,M
113,193,XXXL
60,155,S
59,157,S
103,194,XXXL
79,164,L
79,161,L
86,177,XL
111,196,XXXL
101,195,XXXL
115,200,XXXL
0,0,XXS
110,193,XXXL
55,160,S
107,199,XXXL
60,155,S
60,165,S
66,165,M
71,161,M
69,162,M
60,164,S
87,177,XL
107,200,XXXL
70,165,M
79,155,L
0,0,XXS
75,165,M
66,162,M
80,160,L
75,155,M
83,161,L
86,174,XL
88,187,XL
120,194,XXXL
73,164,M
75,160,M
0,0,XXS
57,155,S
56,162,S
57,159,S
60,162,S
85,161,L
85,160,L
89,181,XL
80,158,L
75,162,M
92,180,XL
82,164,L
85,163,L
108,196,XXXL
0,0,XXS
72,161,M
89,166,XL
56,160,S
56,162,S
69,162,M
87,190,XL
77,157,L
66,165,M
103,194,XXXL
86,187,XL
59,164,S
114,198,XXXL
66,163,M
106,199,XXXL
0,0,XXS
101,193,XXXL
75,155,M
83,157,L
115,197,XXXL
85,163,L
116,191,XXXL
75,163,M
109,193,XXXL
0,0,XXS
73,161,M
60,163,S
108,191,XXXL
59,155,S
88,179,XL
0,0,XXS
113,198,XXXL
75,157,M
74,158,M
83,161,L
93,177,XXL
70,156,M
93,171,XXL
56,159,S
68,160,M
0,0,XXS
106,197,XXXL
81,159,L
74,158,M
58,159,S
75,163,M
56,158,S
0,0,XXS
71,155,M
90,170,XL
108,196,XXXL
116,200,XXXL
85,160,L
110,191,XXXL
68,162,M
75,165,M
87,156,XL
89,164,XL
74,157,M
90,164,XL
72,160,M
69,155,M
90,162,XL
69,157,M
80,164,L
71,162,M
70,157,M
89,183,XL
56,157,S
87,161,XL
55,161,S
60,159,S
87,155,XL
111,200,XXXL
115,200,XXXL
85,162,L
0,0,XXS
60,165,S
69,165,M
82,157,L
67,160,M
76,155,L
75,161,M
67,165,M
67,160,M
90,157,XL
0,0,XXS
105,192,XXXL
91,186,XL
92,185,XL
74,161,M
105,195,XXXL
59,159,S
77,161,L
56,162,S
82,165,L
116,199,XXXL
67,161,M
109,194,XXXL
59,164,S
89,161,XL
80,157,L
119,200,XXXL
59,158,S
98,187,XXL
0,0,XXS
72,164,M
91,177,XL
83,163,L
112,191,XXXL
85,164,L
80,159,L
0,0,XXS
96,174,XXL
96,184,XXL
87,166,XL
83,162,L
87,172,XL
75,165,M
60,163,S
89,167,XL
99,186,XXL
88,162,XL
99,187,XXL
56,156,S
68,157,M
120,198,XXXL
67,157,M
106,195,XXXL
88,177,XL
74,157,M
82,162,L
103,198,XXXL
56,155,S
58,161,S
58,158,S
68,156,M
0,0,XXS
81,155,L
84,164,L
96,187,XXL
101,194,XXXL
82,155,L
99,189,XXL
71,165,M
94,175,XXL
70,155,M
68,162,M
68,163,M
66,156,M
87,157,XL
0,0,XXS
0,0,XXS
60,164,S
81,163,L
69,161,M
59,159,S
85,155,L
75,161,M
88,174,XL
91,157,XL
74,156,M
90,174,XL
77,163,L
71,161,M
78,159,L
94,177,XXL
60,157,S
86,160,XL
87,168,XL
119,197,XXXL
0,0,XXS
89,159,XL
70,163,M
79,160,L
78,155,L
100,180,XXL
58,156,S
73,157,M
73,160,M
57,156,S
111,195,XXXL
71,164,M
112,191,XXXL
59,160,S
92,164,XL
91,173,XL
116,192,XXXL
75,163,M
89,161,XL
100,170,XXL
57,158,S
104,193,XXXL
97,190,XXL
57,161,S
58,155,S
70,159,M
71,156,M
82,165,L
67,162,M
0,0,XXS
77,163,L
117,194,XXXL
55,165,S
72,158,M
58,156,S
92,190,XL
70,159,M
0,0,XXS
59,159,S
96,180,XXL
91,190,XL
102,197,XXXL
75,164,M
70,161,M
103,199,XXXL
105,191,XXXL
120,198,XXXL
56,158,S
108,199,XXXL
60,159,S
59,161,S
85,161,L
73,159,M
86,159,XL
104,193,XXXL
74,165,M
69,155,M
60,159,S
89,163,XL
86,169,XL
119,199,XXXL
102,191,XXXL
112,197,XXXL
0,0,XXS
107,195,XXXL
92,179,XL
55,158,S
84,159,L
99,183,XXL
106,194,XXXL
68,159,M
71,159,M
82,159,L
57,160,S
77,158,L
75,164,M
93,175,XXL
0,0,XXS
92,187,XL
70,161,M
56,155,S
83,156,L
97,171,XXL
76,158,L
91,186,XL
56,160,S
0,0,XXS
0,0,XXS
98,180,XXL
76,161,L
101,197,XXXL
115,194,XXXL
117,200,XXXL
95,183,XXL
92,190,XL
74,161,M
109,199,XXXL
108,195,XXXL
89,171,XL
86,160,XL
70,160,M
69,159,M
105,192,XXXL
93,183,XXL
66,160,M
68,161,M
79,163,L
88,190,XL
73,156,M
0,0,XXS
75,162,M
72,156,M
85,161,L
71,160,M
116,200,XXXL
96,179,XXL
58,164,S
80,158,L
0,0,XXS
85,162,L
89,178,XL
116,197,XXXL
104,193,XXXL
66,162,M
112,194,XXXL
108,199,XXXL
0,0,XXS
69,159,M
0,0,XXS
104,192,XXXL
71,156,M
67,158,M
72,156,M
56,160,S
106,193,XXXL
80,160,L
77,157,L
117,194,XXXL
71,158,M
108,193,XXXL
69,161,M
80,156,L
88,179,XL
71,164,M
69,157,M
95,175,XXL
67,156,M
76,165,L
66,162,M
84,159,L
70,155,M
87,166,XL
86,168,XL
0,0,XXS
87,157,XL
98,174,XXL
78,157,L
68,165,M
75,155,M
71,164,M
118,195,XXXL
119,191,XXXL
80,159,L
56,158,S
94,174,XXL
74,162,M
91,168,XL
99,185,XXL
91,166,XL
67,159,M
100,171,XXL
58,163,S
86,162,XL
101,194,XXXL
75,159,M
69,157,M
55,159,S
90,186,XL
89,189,XL
59,161,S
58,161,S
91,159,XL
108,192,XXXL
0,0,XXS
70,161,M
91,182,XL
103,198,XXXL
83,155,L
109,200,XXXL
79,157,L
58,158,S
107,194,XXXL
91,173,XL
66,155,M
69,164,M
99,186,XXL
103,192,XXXL
106,194,XXXL
58,161,S
60,164,S
84,157,L
90,181,XL
70,165,M
111,194,XXXL
58,160,S
92,189,XL
73,162,M
73,157,M
0,0,XXS
86,160,XL
83,159,L
0,0,XXS
73,159,M
85,165,L
90,170,XL
68,159,M
84,156,L
69,157,M
76,165,L
0,0,XXS
110,194,XXXL
55,165,S
58,164,S
92,173,XL
82,162,L
73,164,M
0,0,XXS
60,163,S
70,156,M
73,157,M
66,155,M
59,159,S
115,192,XXXL
106,199,XXXL
72,159,M
81,162,L
88,170,XL
81,155,L
103,192,XXXL
111,195,XXXL
67,163,M
55,156,S
118,196,XXXL
56,165,S
73,157,M
107,192,XXXL
81,162,L
67,157,M
75,161,M
73,164,M
117,195,XXXL
114,198,XXXL
55,155,S
71,156,M
83,161,L
75,159,M
104,193,XXXL
84,155,L
60,156,S
84,158,L
94,176,XXL
70,160,M
66,159,M
58,158,S
99,170,XXL
84,163,L
83,155,L
90,163,XL
56,155,S
57,164,S
68,155,M
92,169,XL
70,159,M
77,156,L
68,157,M
59,160,S
56,162,S
86,156,XL
83,162,L
69,165,M
70,165,M
73,155,M
73,159,M
92,159,XL
87,157,XL
55,159,S
102,193,XXXL
0,0,XXS
73,163,M
83,155,L
87,185,XL
115,196,XXXL
59,156,S
105,192,XXXL
57,164,S
68,163,M
57,158,S
68,162,M
0,0,XXS
58,157,S
73,163,M
80,158,L
71,156,M
91,162,XL
75,163,M
85,157,L
79,162,L
0,0,XXS
56,160,S
89,166,XL
92,179,XL
90,156,XL
94,178,XXL
55,159,S
98,187,XXL
79,156,L
88,156,XL
72,162,M
71,163,M
56,165,S
58,159,S
69,158,M
70,156,M
67,165,M
94,182,XXL
79,157,L
89,174,XL
68,160,M
70,164,M
87,180,XL
85,158,L
88,156,XL
59,162,S
69,164,M
56,160,S
94,188,XXL
85,162,L
0,0,XXS
55,155,S
0,0,XXS
89,162,XL
95,185,XXL
57,158,S
98,185,XXL
86,164,XL
84,163,L
120,196,XXXL
88,172,XL
116,193,XXXL
85,161,L
92,161,XL
90,163,XL
83,165,L
103,200,XXXL
69,162,M
88,184,XL
102,191,XXXL
81,161,L
74,159,M
101,197,XXXL
69,157,M
111,198,XXXL
0,0,XXS
55,163,S
60,164,S
81,156,L
75,158,M
59,164,S
59,156,S
93,170,XXL
113,198,XXXL
113,197,XXXL
88,190,XL
60,165,S
55,162,S
90,178,XL
86,184,XL
72,163,M
119,200,XXXL
89,164,XL
86,168,XL
110,196,XXXL
91,186,XL
67,163,M
0,0,XXS
69,165,M
60,160,S
57,158,S
108,195,XXXL
112,197,XXXL
114,194,XXXL
68,158,M
68,161,M
108,192,XXXL
117,193,XXXL
80,162,L
69,164,M
57,158,S
76,162,L
56,165,S
58,164,S
0,0,XXS
108,197,XXXL
60,160,S
97,183,XXL
86,178,XL
91,174,XL
71,164,M
68,163,M
87,182,XL
99,179,XXL
0,0,XXS
66,163,M
93,180,XXL
81,158,L
0,0,XXS
116,198,XXXL
0,0,XXS
110,197,XXXL
55,162,S
59,160,S
104,197,XXXL
70,156,M
58,163,S
57,155,S
104,193,XXXL
77,165,L
0,0,XXS
69,160,M
105,193,XXXL
57,161,S
102,196,XXXL
107,193,XXXL
111,197,XXXL
90,165,XL
114,195,XXXL
60,157,S
85,157,L
96,189,XXL
101,191,XXXL
69,159,M
74,165,M
70,164,M
76,164,L
74,157,M
57,163,S
86,155,XL
55,163,S
69,161,M
69,163,M
82,160,L
76,157,L
78,157,L
75,158,M
83,160,L
0,0,XXS
59,165,S
89,163,XL
78,159,L
107,200,XXXL
55,163,S
89,182,XL
93,171,XXL
88,183,XL
91,185,XL
73,163,M
102,195,XXXL
77,159,L
86,166,XL
0,0,XXS
102,193,XXXL
0,0,XXS
117,199,XXXL
88,174,XL
70,161,M
55,157,S
66,164,M
85,165,L
90,167,XL
74,159,M
115,200,XXXL
0,0,XXS
73,159,M
87,189,XL
0,0,XXS
111,196,XXXL
72,155,M
80,160,L
105,193,XXXL
0,0,XXS
0,0,XXS
71,156,M
92,176,XL
56,163,S
75,159,M
80,157,L
98,183,XXL
77,161,L
99,181,XXL
80,159,L
69,156,M
58,159,S
55,161,S
92,164,XL
93,183,XXL
102,198,XXXL
71,162,M
66,158,M
116,193,XXXL
55,160,S
120,196,XXXL
95,178,XXL
85,160,L
56,159,S
55,156,S
86,158,XL
85,164,L
88,164,XL
70,160,M
92,156,XL
58,161,S
79,160,L
56,162,S
88,181,XL
91,159,XL
109,197,XXXL
57,156,S
79,161,L
0,0,XXS
56,157,S
107,192,XXXL
97,172,XXL
96,178,XXL
0,0,XXS
80,160,L
109,200,XXXL
59,157,S
71,160,M
72,157,M
102,198,XXXL
59,163,S
87,157,XL
77,163,L
119,191,XXXL
67,163,M
0,0,XXS
97,179,XXL
58,161,S
88,161,XL
77,164,L
67,156,M
120,194,XXXL
89,182,XL
92,158,XL
0,0,XXS
60,165,S
84,162,L
56,162,S
0,0,XXS
0,0,XXS
0,0,XXS
92,169,XL
71,160,M
105,196,XXXL
90,180,XL
73,156,M
69,157,M
100,189,XXL
71,158,M
90,157,XL
75,163,M
89,190,XL
96,190,XXL
69,157,M
60,162,S
56,163,S
71,158,M
114,195,XXXL
0,0,XXS
120,193,XXXL
81,162,L
0,0,XXS
0,0,XXS
102,197,XXXL
58,161,S
55,157,S
0,0,XXS
67,164,M
120,199,XXXL
82,163,L
112,199,XXXL
90,190,XL
117,196,XXXL
71,155,M
0,0,XXS
55,160,S
116,198,XXXL
92,172,XL
75,156,M
55,155,S
91,161,XL
90,156,XL
84,159,L
99,183,XXL
91,168,XL
99,189,XXL
68,164,M
114,200,XXXL
94,182,XXL
113,197,XXXL
119,197,XXXL
59,159,S
0,0,XXS
87,177,XL
106,197,XXXL
104,192,XXXL
0,0,XXS
0,0,XXS
60,160,S
89,160,XL
78,163,L
94,185,XXL
85,157,L
91,156,XL
77,155,L
0,0,XXS
108,194,XXXL
94,174,XXL
59,159,S
55,158,S
119,200,XXXL
118,191,XXXL
76,162,L
75,160,M
56,160,S
106,192,XXXL
73,162,M
78,162,L
73,161,M
83,165,L
0,0,XXS
108,196,XXXL
119,193,XXXL
90,174,XL
66,158,M
81,157,L
110,198,XXXL
0,0,XXS
59,157,S
69,155,M
89,180,XL
0,0,XXS
67,157,M
67,160,M
104,196,XXXL
89,166,XL
76,160,L
75,163,M
93,170,XXL
0,0,XXS
0,0,XXS
71,161,M
108,199,XXXL
58,158,S
86,188,XL
113,200,XXXL
55,164,S
60,164,S
71,157,M
56,163,S
58,163,S
56,157,S
97,190,XXL
111,191,XXXL
94,184,XXL
99,186,XXL
73,156,M
0,0,XXS
77,157,L
108,200,XXXL
56,161,S
74,159,M
68,162,M
66,159,M
105,200,XXXL
89,178,XL
71,158,M
86,166,XL
0,0,XXS
59,163,S
107,193,XXXL
56,155,S
117,200,XXXL
98,189,XXL
109,192,XXXL
55,162,S
86,177,XL
58,164,S
0,0,XXS
85,165,L
85,163,L
114,199,XXXL
100,179,XXL
105,200,XXXL
112,198,XXXL
75,157,M
60,158,S
104,191,XXXL
66,157,M
111,192,XXXL
72,163,M
77,165,L
81,161,L
91,169,XL
56,158,S
90,162,XL
88,155,XL
104,200,XXXL
87,159,XL
107,193,XXXL
72,157,M
60,159,S
0,0,XXS
59,165,S
84,160,L
110,193,XXXL
87,158,XL
112,196,XXXL
86,156,XL
111,193,XXXL
70,159,M
66,157,M
113,193,XXXL
72,164,M
59,157,S
89,156,XL
115,196,XXXL
0,0,XXS
78,161,L
72,162,M
100,172,XXL
87,173,XL
113,200,XXXL
91,169,XL
72,157,M
84,155,L
67,158,M
59,157,S
75,159,M
74,156,M
68,164,M
86,176,XL
94,176,XXL
59,161,S
106,198,XXXL
102,191,XXXL
92,177,XL
109,195,XXXL
119,195,XXXL
74,162,M
98,184,XXL
59,165,S
59,164,S
88,189,XL
95,173,XXL
59,155,S
107,193,XXXL
103,199,XXXL
68,161,M
55,159,S
79,163,L
74,159,M
119,193,XXXL
67,165,M
104,198,XXXL
105,196,XXXL
116,193,XXXL
102,197,XXXL
83,165,L
0,0,XXS
55,158,S
66,164,M
59,158,S
58,156,S
71,162,M
70,157,M
0,0,XXS
113,191,XXXL
89,162,XL
76,164,L
69,155,M
83,159,L
110,200,XXXL
58,160,S
0,0,XXS
0,0,XXS
59,165,S
105,196,XXXL
77,162,L
74,156,M
0,0,XXS
73,164,M
74,162,M
73,160,M
58,160,S
114,197,XXXL
109,196,XXXL
102,191,XXXL
74,157,M
60,165,S
88,174,XL
55,163,S
57,160,S
60,157,S
59,163,S
83,158,L
67,161,M
58,158,S
55,161,S
101,193,XXXL
72,165,M
0,0,XXS
86,172,XL
89,158,XL
56,157,S
56,164,S
92,170,XL
109,196,XXXL
70,162,M
109,191,XXXL
91,179,XL
69,158,M
55,164,S
99,185,XXL
105,191,XXXL
0,0,XXS
74,157,M
110,196,XXXL
82,158,L
56,156,S
74,162,M
0,0,XXS
73,156,M
90,155,XL
58,162,S
67,160,M
102,193,XXXL
75,162,M
95,174,XXL
66,163,M
86,178,XL
67,162,M
114,191,XXXL
108,200,XXXL
82,164,L
102,196,XXXL
75,165,M
78,161,L
69,159,M
87,166,XL
87,174,XL
93,179,XXL
67,159,M
97,186,XXL
78,164,L
71,157,M
87,179,XL
71,163,M
66,157,M
96,172,XXL
108,193,XXXL
87,159,XL
91,156,XL
71,157,M
75,155,M
88,185,XL
76,163,L
0,0,XXS
82,162,L
58,156,S
119,195,XXXL
98,186,XXL
96,175,XXL
69,160,M
113,194,XXXL
77,163,L
90,185,XL
108,199,XXXL
57,165,S
78,164,L
83,162,L
59,158,S
0,0,XXS
109,195,XXXL
87,167,XL
93,171,XXL
57,158,S
109,198,XXXL
70,161,M
68,159,M
73,161,M
55,160,S
55,155,S
117,191,XXXL
77,160,L
77,155,L
103,191,XXXL
105,194,XXXL
73,165,M
76,160,L
105,195,XXXL
74,159,M
58,158,S
87,172,XL
0,0,XXS
75,160,M
55,157,S
58,164,S
83,161,L
86,189,XL
82,158,L
115,191,XXXL
73,155,M
93,190,XXL
0,0,XXS
88,178,XL
76,155,L
74,161,M
76,163,L
77,155,L
78,158,L
114,194,XXXL
71,162,M
114,198,XXXL
66,160,M
59,161,S
68,162,M
68,163,M
0,0,XXS
88,173,XL
55,158,S
93,190,XXL
70,164,M
80,163,L
0,0,XXS
0,0,XXS
109,194,XXXL
117,200,XXXL
0,0,XXS
77,157,L
73,162,M
103,192,XXXL
74,165,M
67,155,M
103,192,XXXL
0,0,XXS
57,162,S
89,179,XL
60,164,S
86,181,XL
71,161,M
66,162,M
89,155,XL
67,161,M
103,199,XXXL
81,156,L
92,159,XL
0,0,XXS
92,162,XL
113,200,XXXL
75,158,M
72,158,M
77,165,L
86,176,XL
88,184,XL
83,165,L
70,164,M
75,160,M
66,155,M
91,179,XL
57,155,S
88,158,XL
106,191,XXXL
108,199,XXXL
69,162,M
59,156,S
56,159,S
70,160,M
113,199,XXXL
73,160,M
71,159,M
116,196,XXXL
70,157,M
60,165,S
0,0,XXS
90,155,XL
68,162,M
69,158,M
70,159,M
117,199,XXXL
101,195,XXXL
71,162,M
120,200,XXXL
56,157,S
92,171,XL
77,164,L
56,163,S
88,176,XL
57,164,S
88,181,XL
66,158,M
92,155,XL
118,197,XXXL
0,0,XXS
0,0,XXS
0,0,XXS
110,191,XXXL
0,0,XXS
115,200,XXXL
108,193,XXXL
79,161,L
67,160,M
56,156,S
77,165,L
88,184,XL
